time,x,y,z,heading
39.64,-15.036,2.161,-0.110,-3.1153
39.94,-15.040,2.157,-0.285,-3.1164
40.24,-15.044,2.152,-0.460,-3.1176
40.54,-15.048,2.147,-0.633,-3.1190
40.84,-15.052,2.142,-0.806,-3.1205
41.14,-15.055,2.137,-0.978,-3.1223
41.44,-15.058,2.131,-1.148,-3.1241
41.74,-15.061,2.126,-1.318,-3.1262
42.04,-15.063,2.120,-1.486,-3.1284
42.34,-15.065,2.115,-1.653,-3.1309
42.64,-15.066,2.109,-1.818,-3.1335
42.94,-15.067,2.103,-1.982,-3.1363
43.24,-15.067,2.097,-2.145,-3.1394
43.54,-15.067,2.091,-2.305,3.1406
43.84,-15.066,2.085,-2.464,3.1371
44.14,-15.065,2.078,-2.621,3.1333
44.44,-15.063,2.072,-2.776,3.1294
44.74,-15.061,2.065,-2.929,3.1251
45.05,-15.057,2.059,-3.080,3.1206
45.35,-15.054,2.052,-3.229,3.1157
45.65,-15.049,2.045,-3.375,3.1106
45.95,-15.044,2.038,-3.519,3.1051
46.25,-15.038,2.032,-3.660,3.0992
46.55,-15.031,2.025,-3.799,3.0930
46.85,-15.024,2.017,-3.936,3.0864
47.15,-15.015,2.010,-4.070,3.0793
47.45,-15.006,2.003,-4.201,3.0717
47.75,-14.996,1.996,-4.329,3.0637
48.05,-14.985,1.989,-4.455,3.0551
48.35,-14.973,1.981,-4.577,3.0459
48.65,-14.961,1.974,-4.697,3.0361
48.95,-14.947,1.966,-4.813,3.0256
49.25,-14.933,1.959,-4.927,3.0144
49.55,-14.917,1.951,-5.037,3.0023
49.85,-14.901,1.944,-5.144,2.9894
50.15,-14.883,1.936,-5.248,2.9755
50.45,-14.865,1.928,-5.348,2.9605
50.75,-14.846,1.921,-5.445,2.9444
51.05,-14.825,1.913,-5.539,2.9270
51.35,-14.804,1.905,-5.629,2.9082
51.65,-14.781,1.897,-5.716,2.8878
51.95,-14.758,1.890,-5.799,2.8658
52.25,-14.733,1.882,-5.879,2.8418
52.55,-14.707,1.874,-5.955,2.8157
52.85,-14.681,1.866,-6.027,2.7873
53.15,-14.653,1.858,-6.096,2.7563
53.45,-14.624,1.851,-6.161,2.7225
53.75,-14.594,1.843,-6.222,2.6855
54.05,-14.562,1.835,-6.280,2.6450
54.35,-14.530,1.827,-6.334,2.6007
54.65,-14.497,1.819,-6.384,2.5522
54.95,-14.462,1.812,-6.430,2.4993
55.26,-14.426,1.804,-6.472,2.4417
55.56,-14.390,1.796,-6.511,2.3791
55.86,-14.352,1.789,-6.546,2.3116
56.16,-14.312,1.781,-6.576,2.2392
56.46,-14.272,1.774,-6.603,2.1622
56.76,-14.231,1.766,-6.627,2.0814
57.06,-14.188,1.759,-6.646,1.9975
57.36,-14.145,1.751,-6.661,1.9117
57.66,-14.100,1.744,-6.673,1.8251
57.96,-14.054,1.736,-6.681,1.7393
58.26,-14.007,1.729,-6.685,1.6553
58.56,-13.959,1.722,-6.685,1.5744
58.86,-13.909,1.715,-6.681,1.4975
59.16,-13.859,1.708,-6.674,1.4250
59.46,-13.807,1.701,-6.663,1.3574
59.76,-13.755,1.694,-6.648,1.2948
60.06,-13.701,1.687,-6.629,1.2371
60.36,-13.646,1.680,-6.607,1.1842
60.66,-13.590,1.674,-6.581,1.1357
60.96,-13.533,1.667,-6.552,1.0914
61.26,-13.476,1.661,-6.518,1.0509
61.56,-13.417,1.654,-6.482,1.0138
61.86,-13.356,1.648,-6.441,0.9800
62.16,-13.295,1.642,-6.398,0.9490
62.46,-13.233,1.635,-6.350,0.9206
62.76,-13.170,1.629,-6.300,0.8946
63.06,-13.106,1.624,-6.246,0.8707
63.36,-13.041,1.618,-6.189,0.8486
63.66,-12.975,1.612,-6.128,0.8283
63.96,-12.909,1.607,-6.064,0.8096
64.26,-12.841,1.601,-5.998,0.7922
64.56,-12.772,1.596,-5.928,0.7762
64.86,-12.703,1.591,-5.855,0.7613
65.17,-12.632,1.586,-5.779,0.7475
65.47,-12.561,1.581,-5.700,0.7347
65.77,-12.489,1.576,-5.618,0.7227
66.07,-12.416,1.571,-5.534,0.7116
66.37,-12.342,1.567,-5.447,0.7012
66.67,-12.268,1.562,-5.357,0.6915
66.97,-12.193,1.558,-5.264,0.6824
67.27,-12.117,1.554,-5.169,0.6740
67.57,-12.041,1.550,-5.072,0.6661
67.87,-11.964,1.546,-4.972,0.6587
68.17,-11.886,1.542,-4.870,0.6518
68.47,-11.807,1.539,-4.766,0.6453
68.77,-11.728,1.535,-4.660,0.6392
69.07,-11.649,1.532,-4.552,0.6335
69.37,-11.569,1.529,-4.441,0.6282
69.67,-11.488,1.526,-4.329,0.6233
69.97,-11.407,1.523,-4.215,0.6187
70.27,-11.325,1.520,-4.100,0.6143
70.57,-11.243,1.518,-3.982,0.6103
70.87,-11.161,1.516,-3.863,0.6065
71.17,-11.078,1.513,-3.743,0.6031
71.47,-10.995,1.511,-3.622,0.5998
71.77,-10.911,1.510,-3.499,0.5968
72.07,-10.827,1.508,-3.375,0.5941
72.37,-10.743,1.506,-3.249,0.5915
72.67,-10.659,1.505,-3.123,0.5892
72.97,-10.574,1.504,-2.996,0.5871
73.27,-10.490,1.503,-2.868,0.5852
73.57,-10.405,1.502,-2.739,0.5835
73.87,-10.320,1.501,-2.610,0.5820
74.17,-10.235,1.501,-2.480,0.5806
74.47,-10.149,1.500,-2.350,0.5795
74.77,-10.064,1.500,-2.219,0.5785
75.08,-9.979,1.500,-2.089,0.5777
75.38,-9.893,1.500,-1.958,0.5771
75.68,-9.808,1.500,-1.826,0.5767
75.98,-9.723,1.501,-1.695,0.5764
76.28,-9.638,1.501,-1.564,0.5763
76.58,-9.553,1.502,-1.434,0.5764
76.88,-9.468,1.503,-1.303,0.5766
77.18,-9.383,1.504,-1.173,0.5770
77.48,-9.299,1.506,-1.043,0.5776
77.78,-9.215,1.507,-0.914,0.5784
78.08,-9.131,1.509,-0.786,0.5794
78.38,-9.047,1.510,-0.659,0.5805
78.68,-8.964,1.512,-0.532,0.5819
78.98,-8.881,1.514,-0.406,0.5834
79.28,-8.798,1.517,-0.281,0.5851
79.58,-8.716,1.519,-0.158,0.5870
79.88,-8.634,1.522,-0.035,0.5891
80.18,-8.552,1.524,0.086,0.5915
80.48,-8.472,1.527,0.206,0.5941
80.78,-8.391,1.530,0.324,0.5969
81.08,-8.311,1.534,0.441,0.5999
81.38,-8.232,1.537,0.556,0.6032
81.68,-8.153,1.540,0.669,0.6068
81.98,-8.075,1.544,0.781,0.6107
82.28,-7.998,1.548,0.890,0.6148
82.58,-7.921,1.552,0.998,0.6193
82.88,-7.845,1.556,1.104,0.6241
83.18,-7.769,1.560,1.208,0.6292
83.48,-7.695,1.564,1.309,0.6347
83.78,-7.621,1.569,1.408,0.6407
84.08,-7.547,1.573,1.505,0.6470
84.38,-7.475,1.578,1.600,0.6538
84.68,-7.403,1.583,1.692,0.6611
84.98,-7.333,1.588,1.781,0.6689
85.29,-7.263,1.593,1.868,0.6773
85.59,-7.193,1.598,1.953,0.6864
85.89,-7.125,1.604,2.034,0.6960
86.19,-7.058,1.609,2.113,0.7064
86.49,-6.992,1.615,2.189,0.7176
86.79,-6.926,1.621,2.263,0.7297
87.09,-6.862,1.627,2.333,0.7427
87.39,-6.798,1.632,2.400,0.7568
87.69,-6.736,1.639,2.464,0.7720
87.99,-6.674,1.645,2.526,0.7884
88.29,-6.613,1.651,2.584,0.8063
88.59,-6.554,1.657,2.638,0.8257
88.89,-6.495,1.664,2.690,0.8468
89.19,-6.438,1.670,2.739,0.8699
89.49,-6.382,1.677,2.784,0.8950
89.79,-6.326,1.684,2.826,0.9226
90.09,-6.272,1.690,2.864,0.9528
90.39,-6.219,1.697,2.900,0.9859
90.69,-6.167,1.704,2.931,1.0224
90.99,-6.116,1.711,2.960,1.0625
91.29,-6.066,1.718,2.985,1.1068
91.59,-6.017,1.726,3.006,1.1555
91.89,-5.970,1.733,3.024,1.2092
92.19,-5.923,1.740,3.039,1.2681
92.49,-5.878,1.747,3.050,1.3326
92.79,-5.833,1.755,3.057,1.4029
93.09,-5.790,1.762,3.061,1.4788
93.39,-5.748,1.770,3.062,1.5602
93.69,-5.708,1.777,3.059,1.6464
93.99,-5.668,1.785,3.052,1.7362
94.29,-5.629,1.793,3.042,1.8285
94.59,-5.592,1.800,3.028,1.9217
94.89,-5.556,1.808,3.011,2.0140
95.20,-5.520,1.816,2.990,2.1039
95.50,-5.486,1.823,2.966,2.1900
95.80,-5.454,1.831,2.938,2.2714
96.10,-5.422,1.839,2.907,2.3475
96.40,-5.391,1.847,2.872,2.4178
96.70,-5.362,1.854,2.834,2.4823
97.00,-5.333,1.862,2.793,2.5413
97.30,-5.306,1.870,2.748,2.5950
97.60,-5.280,1.878,2.700,2.6438
97.90,-5.255,1.886,2.648,2.6881
98.20,-5.230,1.893,2.593,2.7283
98.50,-5.207,1.901,2.535,2.7648
98.80,-5.185,1.909,2.473,2.7980
99.10,-5.165,1.917,2.409,2.8283
99.40,-5.145,1.924,2.341,2.8559
99.70,-5.126,1.932,2.270,2.8811
100.00,-5.108,1.940,2.196,2.9042
100.30,-5.091,1.947,2.119,2.9254
100.60,-5.075,1.955,2.039,2.9449
100.90,-5.060,1.962,1.956,2.9628
101.20,-5.046,1.970,1.871,2.9793
101.50,-5.033,1.977,1.782,2.9946
101.80,-5.021,1.985,1.691,3.0087
102.10,-5.009,1.992,1.597,3.0218
102.40,-4.999,1.999,1.500,3.0339
102.70,-4.989,2.007,1.401,3.0452
103.00,-4.981,2.014,1.299,3.0557
103.30,-4.973,2.021,1.195,3.0655
103.60,-4.965,2.028,1.088,3.0746
103.90,-4.959,2.035,0.979,3.0831
104.20,-4.953,2.042,0.868,3.0910
104.50,-4.949,2.049,0.755,3.0984
104.80,-4.944,2.055,0.640,3.1053
105.11,-4.941,2.062,0.522,3.1117
105.41,-4.938,2.069,0.403,3.1178
105.71,-4.936,2.075,0.282,3.1234
106.01,-4.934,2.081,0.159,3.1286
106.31,-4.933,2.088,0.034,3.1335
106.61,-4.933,2.094,-0.092,3.1381
106.91,-4.933,2.100,-0.220,-3.1408
107.21,-4.933,2.106,-0.349,-3.1368
107.51,-4.935,2.112,-0.480,-3.1331
107.81,-4.936,2.117,-0.612,-3.1297
108.11,-4.938,2.123,-0.745,-3.1265
108.41,-4.941,2.129,-0.879,-3.1236
108.71,-4.943,2.134,-1.015,-3.1209
109.01,-4.947,2.139,-1.151,-3.1185
109.31,-4.950,2.144,-1.288,-3.1162
109.61,-4.954,2.149,-1.426,-3.1142
109.91,-4.958,2.154,-1.564,-3.1123
110.21,-4.962,2.159,-1.703,-3.1107
110.51,-4.967,2.164,-1.843,-3.1092
110.81,-4.971,2.168,-1.982,-3.1080
111.11,-4.976,2.172,-2.123,-3.1069
111.41,-4.981,2.177,-2.263,-3.1060
111.71,-4.986,2.181,-2.403,-3.1053
112.01,-4.991,2.185,-2.544,-3.1047
112.31,-4.997,2.188,-2.684,-3.1044
112.61,-5.002,2.192,-2.824,-3.1042
112.91,-5.007,2.196,-2.964,-3.1042
113.21,-5.012,2.199,-3.104,-3.1044
113.51,-5.018,2.202,-3.243,-3.1047
113.81,-5.023,2.205,-3.381,-3.1053
114.11,-5.027,2.208,-3.519,-3.1060
114.41,-5.032,2.211,-3.656,-3.1069
114.71,-5.037,2.213,-3.792,-3.1081
115.02,-5.041,2.216,-3.927,-3.1094
115.32,-5.045,2.218,-4.061,-3.1109
115.62,-5.049,2.220,-4.195,-3.1127
115.92,-5.053,2.222,-4.326,-3.1146
116.22,-5.056,2.224,-4.457,-3.1168
116.52,-5.059,2.225,-4.586,-3.1192
116.82,-5.061,2.227,-4.714,-3.1219
117.12,-5.063,2.228,-4.840,-3.1249
117.42,-5.065,2.229,-4.964,-3.1281
117.72,-5.066,2.230,-5.087,-3.1316
118.02,-5.067,2.231,-5.208,-3.1355
118.32,-5.067,2.231,-5.327,-3.1396
118.62,-5.067,2.232,-5.444,3.1390
118.92,-5.066,2.232,-5.559,3.1341
119.22,-5.065,2.232,-5.671,3.1288
119.52,-5.063,2.232,-5.782,3.1230
119.82,-5.060,2.231,-5.890,3.1168
120.12,-5.057,2.231,-5.996,3.1100
120.42,-5.053,2.230,-6.099,3.1027
120.72,-5.048,2.230,-6.200,3.0948
121.02,-5.042,2.229,-6.298,3.0861
121.32,-5.036,2.228,-6.393,3.0768
121.62,-5.029,2.226,-6.486,3.0666
121.92,-5.022,2.225,-6.576,3.0555
122.22,-5.013,2.223,-6.662,3.0434
122.52,-5.004,2.221,-6.746,3.0302
122.82,-4.993,2.219,-6.827,3.0158
123.12,-4.982,2.217,-6.905,2.9999
123.42,-4.970,2.215,-6.980,2.9824
123.72,-4.957,2.212,-7.051,2.9631
124.02,-4.944,2.210,-7.119,2.9418
124.32,-4.929,2.207,-7.184,2.9180
124.62,-4.913,2.204,-7.245,2.8916
124.92,-4.896,2.201,-7.303,2.8621
125.23,-4.879,2.198,-7.358,2.8289
125.53,-4.860,2.194,-7.409,2.7916
125.83,-4.841,2.190,-7.457,2.7494
126.13,-4.820,2.187,-7.501,2.7016
126.43,-4.798,2.183,-7.541,2.6473
126.73,-4.775,2.179,-7.578,2.5855
127.03,-4.752,2.174,-7.610,2.5152
127.33,-4.727,2.170,-7.640,2.4353
127.63,-4.701,2.165,-7.665,2.3453
127.93,-4.674,2.161,-7.687,2.2448
128.23,-4.646,2.156,-7.704,2.1344
128.53,-4.616,2.151,-7.718,2.0156
128.83,-4.586,2.145,-7.728,1.8913
129.13,-4.554,2.140,-7.735,1.7651
129.43,-4.522,2.135,-7.737,1.6410
129.73,-4.488,2.129,-7.735,1.5228
130.03,-4.453,2.123,-7.730,1.4130
130.33,-4.417,2.117,-7.720,1.3132
130.63,-4.380,2.111,-7.707,1.2239
130.93,-4.342,2.105,-7.689,1.1447
131.23,-4.303,2.099,-7.668,1.0749
131.53,-4.262,2.093,-7.643,1.0136
131.83,-4.220,2.086,-7.614,0.9596
132.13,-4.177,2.079,-7.581,0.9121
132.43,-4.134,2.073,-7.544,0.8702
132.73,-4.088,2.066,-7.503,0.8330
133.03,-4.042,2.059,-7.458,0.7999
133.33,-3.995,2.051,-7.409,0.7704
133.63,-3.946,2.044,-7.356,0.7440
133.93,-3.897,2.037,-7.300,0.7202
134.23,-3.846,2.029,-7.239,0.6987
134.53,-3.794,2.022,-7.175,0.6793
134.83,-3.741,2.014,-7.107,0.6616
135.14,-3.687,2.006,-7.036,0.6455
135.44,-3.632,1.998,-6.960,0.6308
135.74,-3.576,1.990,-6.881,0.6173
136.04,-3.519,1.982,-6.798,0.6049
136.34,-3.461,1.974,-6.712,0.5934
136.64,-3.402,1.966,-6.622,0.5829
136.94,-3.341,1.957,-6.529,0.5731
137.24,-3.280,1.949,-6.432,0.5641
137.54,-3.218,1.940,-6.331,0.5557
137.84,-3.154,1.932,-6.228,0.5479
138.14,-3.090,1.923,-6.121,0.5406
138.44,-3.025,1.914,-6.010,0.5338
138.74,-2.959,1.905,-5.897,0.5275
139.04,-2.892,1.897,-5.780,0.5216
139.34,-2.824,1.888,-5.660,0.5160
139.64,-2.755,1.879,-5.537,0.5108
139.94,-2.685,1.869,-5.411,0.5060
140.24,-2.614,1.860,-5.283,0.5014
140.54,-2.543,1.851,-5.151,0.4971
140.84,-2.471,1.842,-5.017,0.4931
141.14,-2.398,1.833,-4.879,0.4893
141.44,-2.324,1.823,-4.740,0.4858
141.74,-2.249,1.814,-4.597,0.4824
142.04,-2.174,1.804,-4.453,0.4793
142.34,-2.098,1.795,-4.305,0.4764
142.64,-2.022,1.785,-4.156,0.4736
142.94,-1.944,1.776,-4.004,0.4710
143.24,-1.866,1.766,-3.850,0.4686
143.54,-1.788,1.757,-3.694,0.4663
143.84,-1.709,1.747,-3.536,0.4641
144.14,-1.629,1.738,-3.376,0.4621
144.44,-1.549,1.728,-3.214,0.4602
144.74,-1.468,1.718,-3.050,0.4585
145.05,-1.387,1.709,-2.885,0.4569
145.35,-1.305,1.699,-2.718,0.4553
145.65,-1.223,1.689,-2.550,0.4539
145.95,-1.140,1.680,-2.380,0.4526
146.25,-1.057,1.670,-2.209,0.4514
146.55,-0.974,1.660,-2.037,0.4504
146.85,-0.890,1.651,-1.863,0.4494
147.15,-0.806,1.641,-1.689,0.4485
147.45,-0.722,1.631,-1.514,0.4476
147.75,-0.638,1.622,-1.337,0.4469
148.05,-0.553,1.612,-1.161,0.4463
148.35,-0.468,1.602,-0.983,0.4458
148.65,-0.384,1.593,-0.805,0.4453
148.95,-0.298,1.583,-0.627,0.4449
149.25,-0.213,1.574,-0.448,0.4446
149.55,-0.128,1.564,-0.269,0.4444
149.85,-0.043,1.555,-0.090,0.4443
150.15,0.043,1.545,0.090,0.4443
150.45,0.128,1.536,0.269,0.4443
150.75,0.213,1.527,0.448,0.4444
151.05,0.298,1.517,0.627,0.4446
151.35,0.384,1.508,0.805,0.4449
151.65,0.468,1.499,0.983,0.4453
151.95,0.553,1.490,1.161,0.4458
152.25,0.638,1.480,1.337,0.4463
152.55,0.722,1.471,1.514,0.4469
152.85,0.806,1.462,1.689,0.4476
153.15,0.890,1.453,1.863,0.4485
153.45,0.974,1.444,2.037,0.4494
153.75,1.057,1.436,2.209,0.4504
154.05,1.140,1.427,2.380,0.4514
154.35,1.223,1.418,2.550,0.4526
154.65,1.305,1.410,2.718,0.4539
154.95,1.387,1.401,2.885,0.4553
155.26,1.468,1.392,3.050,0.4569
155.56,1.549,1.384,3.214,0.4585
155.86,1.629,1.376,3.376,0.4602
156.16,1.709,1.367,3.536,0.4621
156.46,1.788,1.359,3.694,0.4641
156.76,1.866,1.351,3.850,0.4663
157.06,1.944,1.343,4.004,0.4686
157.36,2.022,1.335,4.156,0.4710
157.66,2.098,1.327,4.305,0.4736
157.96,2.174,1.319,4.453,0.4764
158.26,2.249,1.312,4.597,0.4793
158.56,2.324,1.304,4.740,0.4824
158.86,2.398,1.297,4.879,0.4858
159.16,2.471,1.289,5.017,0.4893
159.46,2.543,1.282,5.151,0.4931
159.76,2.614,1.275,5.283,0.4971
160.06,2.685,1.268,5.411,0.5014
160.36,2.755,1.261,5.537,0.5060
160.66,2.824,1.254,5.660,0.5108
160.96,2.892,1.247,5.780,0.5160
161.26,2.959,1.240,5.897,0.5216
161.56,3.025,1.234,6.010,0.5275
161.86,3.090,1.227,6.121,0.5338
162.16,3.154,1.221,6.228,0.5406
162.46,3.218,1.214,6.331,0.5479
162.76,3.280,1.208,6.432,0.5557
163.06,3.341,1.202,6.529,0.5641
163.36,3.402,1.196,6.622,0.5731
163.66,3.461,1.190,6.712,0.5829
163.96,3.519,1.184,6.798,0.5934
164.26,3.576,1.179,6.881,0.6049
164.56,3.632,1.173,6.960,0.6173
164.86,3.687,1.168,7.036,0.6308
165.17,3.741,1.162,7.107,0.6455
165.47,3.794,1.157,7.175,0.6616
165.77,3.846,1.152,7.239,0.6793
166.07,3.897,1.147,7.300,0.6987
166.37,3.946,1.142,7.356,0.7202
166.67,3.995,1.137,7.409,0.7440
166.97,4.042,1.133,7.458,0.7704
167.27,4.088,1.128,7.503,0.7999
167.57,4.134,1.124,7.544,0.8330
167.87,4.177,1.119,7.581,0.8702
168.17,4.220,1.115,7.614,0.9121
168.47,4.262,1.111,7.643,0.9596
168.77,4.303,1.107,7.668,1.0136
169.07,4.342,1.103,7.689,1.0749
169.37,4.380,1.100,7.707,1.1447
169.67,4.417,1.096,7.720,1.2239
169.97,4.453,1.092,7.730,1.3132
170.27,4.488,1.089,7.735,1.4130
170.57,4.522,1.086,7.737,1.5228
170.87,4.554,1.083,7.735,1.6410
171.17,4.586,1.080,7.728,1.7651
171.47,4.616,1.077,7.718,1.8913
171.77,4.646,1.074,7.704,2.0156
172.07,4.674,1.071,7.687,2.1344
172.37,4.701,1.068,7.665,2.2448
172.67,4.727,1.066,7.640,2.3453
172.97,4.752,1.063,7.610,2.4353
173.27,4.775,1.061,7.578,2.5152
173.57,4.798,1.059,7.541,2.5855
173.87,4.820,1.057,7.501,2.6473
174.17,4.841,1.055,7.457,2.7016
174.47,4.860,1.053,7.409,2.7494
174.77,4.879,1.051,7.358,2.7916
175.08,4.896,1.050,7.303,2.8289
175.38,4.913,1.048,7.245,2.8621
175.68,4.929,1.047,7.184,2.8916
175.98,4.944,1.045,7.119,2.9180
176.28,4.957,1.044,7.051,2.9418
176.58,4.970,1.043,6.980,2.9631
176.88,4.982,1.042,6.905,2.9824
177.18,4.993,1.041,6.827,2.9999
177.48,5.004,1.040,6.746,3.0158
177.78,5.013,1.039,6.662,3.0302
178.08,5.022,1.039,6.576,3.0434
178.38,5.029,1.038,6.486,3.0555
178.68,5.036,1.038,6.393,3.0666
178.98,5.042,1.037,6.298,3.0768
179.28,5.048,1.037,6.200,3.0861
179.58,5.053,1.037,6.099,3.0948
179.88,5.057,1.037,5.996,3.1027
180.18,5.060,1.036,5.890,3.1100
180.48,5.063,1.037,5.782,3.1168
180.78,5.065,1.037,5.671,3.1230
181.08,5.066,1.037,5.559,3.1288
181.38,5.067,1.037,5.444,3.1341
181.68,5.067,1.038,5.327,3.1390
181.98,5.067,1.038,5.208,-3.1396
182.28,5.066,1.039,5.087,-3.1355
182.58,5.065,1.039,4.964,-3.1316
182.88,5.063,1.040,4.840,-3.1281
183.18,5.061,1.041,4.714,-3.1249
183.48,5.059,1.042,4.586,-3.1219
183.78,5.056,1.042,4.457,-3.1192
184.08,5.053,1.043,4.326,-3.1168
184.38,5.049,1.045,4.195,-3.1146
184.68,5.045,1.046,4.061,-3.1127
184.98,5.041,1.047,3.927,-3.1109
185.29,5.037,1.048,3.792,-3.1094
185.59,5.032,1.049,3.656,-3.1081
185.89,5.027,1.051,3.519,-3.1069
186.19,5.023,1.052,3.381,-3.1060
186.49,5.018,1.054,3.243,-3.1053
186.79,5.012,1.055,3.104,-3.1047
